Registro_ANS;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP
416835;RUA CAMPOS SALES;2217;;CENTRO;Mirassol;SP;15130013
349291;RUA DA ALFANDEGA;80;SALA 402;CENTRO;Rio de Janeiro;RJ;20070004
423254;RUA SETE DE SETEMBRO ;55.0;SALA 2303;CENTRO;Rio de Janeiro;RJ;20050004
419516;Escadaria Acyr GuimarÃ£es;25;;Centro;VitÃ³ria;ES;29015360
415065;AVENIDA T-9;735;QD 87, LOTE 23, SALAS 1a4;SETOR BUENO;GoiÃ¢nia;GO;74215025
418048;Alameda  Campinas;457;8Âº  andar;Bairro  Jardim  Paulista;SÃ£o Paulo;SP;1404100
424111;AV RIO BRANCO;125;SALA 1601;CENTRO;Rio de Janeiro;RJ;20040006
417564;RUA RODRIGO SILVA;26;SALA 1401;CENTRO;Rio de Janeiro;RJ;20011902
420964;Avenida Treze de Maio;13;Pavimento 4 - conjunto 409, Sala 421;Centro;Rio de Janeiro;RJ;20031007
329967;RUA VICENTE DE PAULA LIMA;1036;;CENTRO;Serrana;SP;14150000
416495;AV. SALDANHA DA GAMA;447;;CENTRO;MatÃ£o;SP;15990120
424196;RUA SETE DE SETEMBRO;55;SALA 1106;CENTRO;Rio de Janeiro;RJ;20050004
417696;AV BRIGADEIRO FARIA LIMA;1485;CONJ. 11 - TORRE NORTE;JARDIM PAULISTANO;SÃ£o Paulo;SP;1452002
424064;RUA PROFESSOR PLINIO GARCEZ DE SENA;7;SETOR B - SALA 203;MUSSURUNGA I;Salvador;BA;41490340
423611;Avenida JoÃ£o Cabral de Melo Neto;850;bloco 2, sala 722;Barra da Tijuca;Rio de Janeiro;RJ;22775057
419559;AVENIDA PRESIDENTE VARGAS;309;PAVIMENTO 17;CENTRO;Rio de Janeiro;RJ;20040010
328537;Rua BrÃ¡s Cubas;83;;Vila Lanzara;Guarulhos;SP;7115030
422797;AVENIDA TREZE DE MAIO ;33;BLOCO B, SALA 1214;CENTRO;Rio de Janeiro;RJ;20031920
419753;AVENIDA AFONSO PENA;867;SALAS 1401 A 1411;CENTRO;Belo Horizonte;MG;30130905
421367;RUA EMILIANO PERNETA;297;SALA 211 - ANDAR 21 - COND. METROPOLITAN;CENTRO;Curitiba;PR;80010050
420859;RUA CONSTRUTOR SEBASTIÃƒO SOARES DE SOUZA;40;SALAS 1101 a 1104 e 1108 - ED. INFINITY;PRAIA DA COSTA;Vila Velha;ES;29101350
411868;RUA ALCEBIADES WOLHERS;2;;JARDIM SÃƒO CRISTOVÃƒO ;Extrema;MG;37640000
424331;AV MANOEL DIAS DA SILVA;737;EDIF MULTI 1 ANDAR SALA 2B;PITUBA;Salvador;BA;41830000
333689;AVENIDA ALPHAVILLE;779;11Âº ANDAR, LADO B, SL.1102 - PARTE, EMP.;BARUERI;SÃ£o Paulo;SP;6472900
